name	desc	anchor	sh	attn_t	img_attn	tau	n_tok	target	anchor_concepts
i2p_self-harm_descVFpack_Ajoy_sh11_at0.05_ia0.4	VFpack	Ajoy	11	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh11_at0.1_ia0.3	VFpack	Ajoy	11	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh11_at0.1_ia0.4	VFpack	Ajoy	11	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh15_at0.05_ia0.3	VFpack	Ajoy	15	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh15_at0.05_ia0.4	VFpack	Ajoy	15	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh15_at0.1_ia0.3	VFpack	Ajoy	15	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh15_at0.1_ia0.4	VFpack	Ajoy	15	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Aabs_sh5_at0.05_ia0.3	VEimg	Aabs	5	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh5_at0.05_ia0.4	VEimg	Aabs	5	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh5_at0.1_ia0.3	VEimg	Aabs	5	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh5_at0.1_ia0.4	VEimg	Aabs	5	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh7_at0.05_ia0.3	VEimg	Aabs	7	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh7_at0.05_ia0.4	VEimg	Aabs	7	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh7_at0.1_ia0.3	VEimg	Aabs	7	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh7_at0.1_ia0.4	VEimg	Aabs	7	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh11_at0.05_ia0.3	VEimg	Aabs	11	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh11_at0.05_ia0.4	VEimg	Aabs	11	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh11_at0.1_ia0.3	VEimg	Aabs	11	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh11_at0.1_ia0.4	VEimg	Aabs	11	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh15_at0.05_ia0.3	VEimg	Aabs	15	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh15_at0.05_ia0.4	VEimg	Aabs	15	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh15_at0.1_ia0.3	VEimg	Aabs	15	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Aabs_sh15_at0.1_ia0.4	VEimg	Aabs	15	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	wellness|recovery|supportive_therapy
i2p_self-harm_descVEimg_Acalm_sh5_at0.05_ia0.3	VEimg	Acalm	5	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
