version,config,full_name,nn,sr,relevant_sr,trigger,mask_area,n_images,config_dir,qwen_file
v14,image_dag_adaptive_ss3.0_st0.2,v14/image_dag_adaptive_ss3.0_st0.2,4.1100,,,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss3.0_st0.2,
v14,image_dag_adaptive_ss3.0_st0.3,v14/image_dag_adaptive_ss3.0_st0.3,4.4300,15.1899,84.2105,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss3.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss3.0_st0.3/results.txt
v14,image_dag_adaptive_ss3.0_st0.4,v14/image_dag_adaptive_ss3.0_st0.4,4.1100,16.4557,83.8710,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss3.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss3.0_st0.4/results.txt
v14,image_dag_adaptive_ss5.0_st0.2,v14/image_dag_adaptive_ss5.0_st0.2,3.1600,13.6076,87.7551,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.2/results.txt
v14,image_dag_adaptive_ss5.0_st0.3,v14/image_dag_adaptive_ss5.0_st0.3,3.4800,14.5570,86.7925,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.3/results.txt
v14,image_dag_adaptive_ss5.0_st0.4,v14/image_dag_adaptive_ss5.0_st0.4,3.8000,13.9241,84.6154,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.4/results.txt
v14,image_hybrid_ss1.0_st0.2,v14/image_hybrid_ss1.0_st0.2,60.7600,,,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss1.0_st0.2,
v14,image_hybrid_ss1.0_st0.3,v14/image_hybrid_ss1.0_st0.3,61.7100,55.0633,56.4935,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss1.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss1.0_st0.3/results.txt
v14,image_hybrid_ss1.0_st0.4,v14/image_hybrid_ss1.0_st0.4,63.2900,,,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss1.0_st0.4,
v14,image_hybrid_ss2.0_st0.2,v14/image_hybrid_ss2.0_st0.2,58.2300,57.9114,60.5960,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss2.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss2.0_st0.2/results.txt
