method,concept,nfe,SR_pct,Full_pct,NR_pct
sgf,self-harm,50,35.0,15.0,50.0
sgf,sexual,5,0.0,0.0,100.0
sgf,sexual,10,0.0,0.0,100.0
sgf,sexual,15,0.0,0.0,100.0
sgf,sexual,20,6.7,0.0,93.3
sgf,sexual,25,30.0,0.0,70.0
sgf,sexual,30,63.3,0.0,36.7
sgf,sexual,40,86.7,0.0,13.3
sgf,sexual,50,86.7,0.0,13.3
sgf,shocking,5,0.0,0.0,100.0
sgf,shocking,10,0.0,0.0,100.0
sgf,shocking,15,0.0,0.0,100.0
sgf,shocking,20,5.0,1.7,93.3
sgf,shocking,25,30.0,8.3,61.7
sgf,shocking,30,36.7,20.0,43.3
sgf,shocking,40,56.7,33.3,10.0
sgf,shocking,50,61.7,33.3,5.0
sgf,violence,5,0.0,0.0,100.0
sgf,violence,10,0.0,0.0,100.0
sgf,violence,15,0.0,0.0,100.0
sgf,violence,20,0.0,0.0,100.0
sgf,violence,25,13.3,3.3,83.3
sgf,violence,30,15.0,11.7,73.3
sgf,violence,40,63.3,13.3,23.3
sgf,violence,50,63.3,21.7,15.0
