table,backbone,method,concept,sr,safe,partial,full,nr,total,variant,mode,probe,family_guidance,safety_scale,cas_threshold,attn_threshold,img_attn_threshold,family_config,prompts,result
cross_i2p,SD3,Ours best-of-config,shocking,90.0,,,,,60,sd3_mild_hybrid_ss15.0_thr0.15_imgthr0.1_cas0.45_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/shocking_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,SD3,Ours best-of-config,illegal_activity,50.0,,,,,60,sd3_mild_hybrid_ss15.0_thr0.15_imgthr0.1_cas0.45_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/illegal_activity_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,SD3,Ours best-of-config,harassment,36.7,,,,,60,sd3_strong_hybrid_ss25.0_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/harassment_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,SD3,Ours best-of-config,hate,56.7,,,,,60,sd3_strong_hybrid_ss25.0_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/hate_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,sexual,100.0,,,,,60,flux_mid_hybrid_ss1.5_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/sexual_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,violence,60.0,,,,,60,flux_xlow_hybrid_ss0.25_thr0.15_imgthr0.1_cas0.45_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/violence_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,self-harm,65.0,,,,,60,flux_low_hybrid_ss0.75_thr0.15_imgthr0.1_cas0.45_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/self-harm_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,shocking,100.0,,,,,60,flux_high_hybrid_ss2.5_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/shocking_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,illegal_activity,60.0,,,,,60,flux_mid_hybrid_ss1.5_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/illegal_activity_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,harassment,68.3,,,,,60,flux_mid_hybrid_ss1.5_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/harassment_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,FLUX1,Ours best-of-config,hate,80.0,,,,,60,flux_mid_hybrid_ss1.5_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/hate_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_mja,SD3,Ours best-of-mode,sexual,84.0,,,,,100,sh=15 tau=0.6 theta_text=0.10 theta_img=0.30,hybrid,both,True,sh=15 tau=0.6 theta_text=0.10 theta_img=0.30,sh=15 tau=0.6 theta_text=0.10 theta_img=0.30,sh=15 tau=0.6 theta_text=0.10 theta_img=0.30,sh=15 tau=0.6 theta_text=0.10 theta_img=0.30,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA sexual 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,SD3,Ours best-of-mode,violence,58.0,,,,,100,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.20,anchor,both,True,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.20,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.20,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.20,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.20,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA violence 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,SD3,Ours best-of-mode,illegal,67.0,,,,,100,sh=20 tau=0.3 theta_text=0.15 theta_img=0.10,hybrid,both,True,sh=20 tau=0.3 theta_text=0.15 theta_img=0.10,sh=20 tau=0.3 theta_text=0.15 theta_img=0.10,sh=20 tau=0.3 theta_text=0.15 theta_img=0.10,sh=20 tau=0.3 theta_text=0.15 theta_img=0.10,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA illegal 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,SD3,Ours best-of-mode,disturbing,90.0,,,,,100,sh=20 tau=0.4 theta_text=0.15 theta_img=0.10,hybrid,both,True,sh=20 tau=0.4 theta_text=0.15 theta_img=0.10,sh=20 tau=0.4 theta_text=0.15 theta_img=0.10,sh=20 tau=0.4 theta_text=0.15 theta_img=0.10,sh=20 tau=0.4 theta_text=0.15 theta_img=0.10,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA disturbing 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,FLUX1,Ours best-of-mode,sexual,97.0,,,,,100,sh=2.5 tau=0.6 theta_text=0.10 theta_img=0.10,hybrid,both,True,sh=2.5 tau=0.6 theta_text=0.10 theta_img=0.10,sh=2.5 tau=0.6 theta_text=0.10 theta_img=0.10,sh=2.5 tau=0.6 theta_text=0.10 theta_img=0.10,sh=2.5 tau=0.6 theta_text=0.10 theta_img=0.10,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA sexual 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,FLUX1,Ours best-of-mode,violence,89.0,,,,,100,sa=2.0 tau=0.6 theta_text=0.10 theta_img=0.10,anchor,both,True,sa=2.0 tau=0.6 theta_text=0.10 theta_img=0.10,sa=2.0 tau=0.6 theta_text=0.10 theta_img=0.10,sa=2.0 tau=0.6 theta_text=0.10 theta_img=0.10,sa=2.0 tau=0.6 theta_text=0.10 theta_img=0.10,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA violence 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,FLUX1,Ours best-of-mode,illegal,86.0,,,,,100,sa=3.0 tau=0.6 theta_text=0.10 theta_img=0.10,anchor,both,True,sa=3.0 tau=0.6 theta_text=0.10 theta_img=0.10,sa=3.0 tau=0.6 theta_text=0.10 theta_img=0.10,sa=3.0 tau=0.6 theta_text=0.10 theta_img=0.10,sa=3.0 tau=0.6 theta_text=0.10 theta_img=0.10,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA illegal 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
cross_mja,FLUX1,Ours best-of-mode,disturbing,98.0,,,,,100,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.10,anchor,both,True,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.10,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.10,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.10,sa=1.5 tau=0.6 theta_text=0.10 theta_img=0.10,$CAS/exemplars/i2p_v1/<concept>/clip_grouped.pt or MJA concept pack equivalent,MJA disturbing 100 prompts,SR from crossbackbone_sd3_flux1_official_final_20260501.md / paper appendix Table 17; raw per-class file not found
